Total,Visitor,Economic,Labor Income Value,Added,Output
Recreation,Spending,Jobs,"($000s, $2021)","($000s, $2021)","($000s, $2021)"
Park Unit,Visits ($000s, $2021)
Marsh - Billings - Rockefeller NHP,"47,997","$3,125",40,"$1,467","$2,493","$4,200"
Martin Luther King Jr NHS,"28,034","$1,824",27,"$1,000","$1,671","$2,881"
Martin Luther King, Jr. MEM,"2,032,470","$42,691",538,"$24,726","$40,919","$65,463"
Martin Van Buren NHS,"9,823","$639",8,"$328","$543","$881"
Mary McLeod Bethune Council House NHSc,0,$0,0,$0,$0,$0
Medgar and Myrlie Evers Home NM,"1,034","$68",1,"$30","$51","$96"
Mesa Verde NPa,"548,477","$62,609",825,"$24,452","$43,215","$79,532"
Minidoka (Idaho) NHS,"6,194","$120",2,"$40","$63","$130"
Minidoka (Washington) NHS,"8,846","$576",7,"$217","$402","$668"
Minute Man NHP,"983,201","$64,004",810,"$38,667","$60,369","$97,696"
Minuteman Missile NHSa,"140,280","$11,673",158,"$4,725","$8,213","$15,148"
Mississippi NRRA,"228,460","$11,250",150,"$5,753","$9,348","$16,386"
Missouri NRR,"140,814","$6,934",90,"$2,809","$4,586","$8,448"
Mojave NPRES,"866,635","$56,354",664,"$27,415","$45,435","$73,797"
Monocacy NBa,"137,300","$5,179",66,"$2,228","$3,851","$6,563"
Montezuma Castle NM,"418,147","$27,220",373,"$14,596","$24,280","$41,585"
Moores Creek NB,"60,727","$4,359",59,"$1,659","$2,952","$5,410"
