Park Unit,,,State,Share
Great Smok,y Mo,untains NP,North Carolina,44.0%
Great Smok,y Mo,untains NP,Tennessee,56.0%
Gulf Islands,NS,,Florida,80.4%
Gulf Islands,NS,,Mississippi,19.6%
Hovenweep,NM,,Colorado,44.0%
Hovenweep,NM,,Utah,56.0%
Lake Mead,NRA,,Arizona,25.0%
Lake Mead,NRA,,Nevada,75.0%
Natchez Tra,ce P,KWY,Alabama,7.0%
Natchez Tra,ce P,KWY,Mississippi,80.0%
Natchez Tra,ce P,KWY,Tennessee,13.0%
National Cap,ital,Parks East,District of Columbia,90.0%
National Cap,ital,Parks East,Maryland,10.0%
Saint Croix N,SR,,Minnesota,50.0%
Saint Croix N,SR,,Wisconsin,50.0%
Upper Delaw,are,NSR&NRR,New York,50.0%
Upper Delaw,are,NSR&NRR,Pennsylvania,50.0%
Yellowstone,NP,,Montana,51.0%
Yellowstone,NP,,Wyoming,49.0%
