Park Unit,Recreation Visits ($000s, $2020),Total Visitor Spending ($000s, $2020),Jobs,Labor Income ($000s, $2020),Value Added ($000s, $2020),Output ($000s, $2020)
Kobuk Valley NP,11.185,17.214,212,8.097,15.161,24.520
Korean War Veterans MEM,1363.714,26.482,343,14.435,24.428,38.216
Lake Chelan NRA,30.599,2.149,23,1.018,1.865,2.790
Lake Clark NP&PRES,4.948,7.617,94,3.583,6.709,10.850
Lake Mead NRA,8016.509,360.764,4266,161.171,265.985,427.513
Lake Meredith NRA,1612.785,72.166,961,27.137,45.152,81.869
Lake Roosevelt NRA,1519.403,68.533,835,26.478,48.554,80.645
Lassen Volcanic NP,542.274,33.295,444,12.835,21.287,37.718
Lava Beds NMa,111.259,4.850,58,1.777,2.896,5.090
Lewis and Clark NHP,161.231,9.660,133,4.891,8.312,13.631
Lincoln Boyhood NMEMa,110.691,5.407,82,2.439,4.226,7.343
Lincoln Home NHSa,27.744,1.730,25,0.647,1.236,2.158
Lincoln MEM,2980.074,57.871,749,31.544,53.382,83.513
Little Bighorn Battlefield NM,97.461,5.839,90,2.631,4.197,7.681
Little River Canyon NPRES,802.375,48.074,743,20.639,35.431,63.766
Little Rock Central High School NHS,68.498,4.104,65,1.655,3.038,5.521
Longfellow NHS,30.015,1.798,24,1.001,1.643,2.579
Lowell NHP,53.954,3.232,42,1.791,2.946,4.629
Lyndon B Johnson NHP,75.322,4.513,64,2.273,3.863,6.454
