State,"Total
Recreation
Visits","Total Visitor
Spending
($Millions, $2023)",Jobs,"Labor Income
($Millions, $2023)","Value Added
($Millions, $2023)","Economic Output
($Millions, $2023)"
Alabama,"1,287,291",$88.9,"1,338",$39.2,$63.6,$121.9
Alaska,"3,254,809","$1,504.9","21,274",$838.7,"$1,292.4","$2,307.6"
American Samoa,"12,135",$0.8,8,$0.4,$0.7,$1.0
Arizona,"10,809,520","$1,225.0","17,319",$684.2,"$1,156.7","$1,997.0"
Arkansas,"4,447,751",$288.8,"4,015",$110.7,$198.1,$375.3
California,"36,211,847","$3,162.9","39,678","$2,022.5","$3,229.3","$5,146.1"
Colorado,"7,280,580",$795.9,"11,133",$471.5,$769.4,"$1,279.1"
Connecticut,"36,313",$2.4,28,$1.4,$2.2,$3.5
Delaware,"126,414",$8.5,118,$4.2,$6.8,$11.7
District of Columbia,"41,101,338",$998.0,"9,469",$501.3,$805.1,"$1,180.6"
Florida,"13,309,144",$870.9,"12,082",$457.7,$776.6,"$1,352.8"
Georgia,"6,781,835",$403.9,"5,742",$203.3,$341.4,$605.4
Guam,"415,533",$27.8,284,$12.9,$23.2,$35.9
Hawaii,"4,808,385",$586.5,"6,131",$284.2,$540.5,$819.1
Idaho,"769,552",$44.2,622,$19.0,$31.7,$59.8
Illinois,"188,138",$13.0,170,$7.8,$12.6,$20.8
Indiana,"3,040,462",$156.6,"2,016",$68.3,$115.0,$204.4
Iowa,"171,523",$11.9,172,$5.1,$8.4,$15.8
Kansas,"106,700",$6.0,80,$2.5,$4.4,$8.0
Kentucky,"1,975,538",$114.9,"1,690",$53.9,$85.3,$158.9
Louisiana,"300,411",$20.1,276,$8.9,$15.2,$27.3
Maine,"3,930,777",$478.8,"6,819",$254.5,$434.0,$752.4
Maryland,"6,305,727",$225.7,"2,669",$118.1,$195.2,$313.9
Massachusetts,"8,732,682",$862.9,"10,482",$539.7,$849.6,"$1,349.1"
Michigan,"2,820,169",$273.4,"3,730",$139.4,$237.3,$413.0
Minnesota,"1,090,134",$67.5,915,$34.5,$56.4,$99.6
Mississippi,"9,065,256",$590.1,"8,245",$235.0,$401.2,$757.4
Missouri,"4,170,417",$262.9,"4,082",$144.8,$231.6,$418.1
Montana,"5,656,618",$716.3,"10,880",$362.0,$551.2,"$1,057.5"
Nebraska,"314,896",$22.5,330,$11.2,$18.1,$32.9
Nevada,"4,552,349",$238.8,"2,487",$108.2,$187.1,$301.9
New Hampshire,"30,537",$1.7,23,$1.0,$1.7,$2.7
New Jersey,"5,195,543",$192.8,"2,488",$116.4,$176.9,$286.4
New Mexico,"2,265,573",$141.8,"1,855",$55.9,$95.7,$177.1
New York,"17,197,346",$724.9,"7,394",$378.0,$632.0,$965.9
North Carolina,"20,893,208","$2,587.4","38,828","$1,525.8","$2,432.1","$4,126.1"
North Dakota,"767,938",$56.0,711,$22.5,$38.3,$70.5
Ohio,"3,195,784",$163.7,"2,525",$98.8,$154.4,$267.6
Oklahoma,"2,094,232",$41.4,396,$12.8,$20.5,$40.0
Oregon,"1,045,772",$86.8,"1,199",$48.1,$75.9,$130.6
Pennsylvania,"8,300,004",$426.3,"6,157",$251.8,$382.4,$662.6
Puerto Rico,"1,314,819",$150.8,"1,752",$80.6,$152.0,$226.9
Rhode Island,"37,707",$2.5,32,$1.3,$2.1,$3.5
South Carolina,"1,281,602",$80.9,"1,058",$34.4,$60.5,$106.9
South Dakota,"4,423,548",$599.9,"8,327",$287.9,$477.1,$834.6
Tennessee,"10,545,648","$1,400.6","20,021",$832.1,"$1,309.3","$2,166.1"
Texas,"5,339,503",$322.7,"4,464",$172.1,$272.2,$487.6
Utah,"15,678,160","$1,899.6","26,507",$985.4,"$1,702.0","$2,981.2"
Vermont,"71,799",$4.8,61,$2.1,$3.7,$6.4
Virgin Islands,"510,794",$66.6,732,$32.2,$60.7,$92.3
Virginia,"23,263,467","$1,494.3","21,159",$769.3,"$1,301.3","$2,274.4"
Washington,"8,294,749",$565.1,"6,106",$278.0,$495.3,$780.2
West Virginia,"2,343,355",$120.5,"1,599",$47.8,$79.2,$146.0
Wisconsin,"650,296",$64.6,929,$31.1,$50.7,$93.0
Wyoming,"7,683,019","$1,098.6","14,522",$479.3,$796.2,"$1,425.0"
