Park Unit,Total Visitor Visits,Recreation Spending,Jobs,Labor Income Value,Added,Output
Cape Cod NSA,4017239,$547,135,6709,$275,758,$449,823,$748,963
Cape Hatteras NS,3206056,$226,340,3200,$92,079,$157,971,$293,968
Cape Krusenstern NM,12162,$19,816,279,$10,855,$17,315,$29,654
Cape Lookout NS,562461,$27,621,357,$9,927,$16,200,$30,694
Capitol Reef NP,1405353,$113,355,1361,$42,947,$74,236,$131,894
Capulin Volcano NM,106623,$3,596,45,$1,177,$1,975,$3,750
Carl Sandburg Home NHS,47846,$3,115,44,$1,351,$2,275,$4,122
Carlsbad Caverns NP,349244,$25,066,312,$8,679,$14,898,$27,448
Carter G. Woodson Home NHS,0,$0,0,$0,$0,$0
Casa Grande Ruins NM,49261,$3,207,44,$1,725,$2,879,$4,958
Castillo De San Marcos NM,498623,$32,460,469,$15,138,$25,825,$46,257
Castle Clinton NM,1665660,$46,957,465,$23,865,$37,939,$59,211
Catoctin Mountain P,520339,$37,206,452,$20,769,$33,758,$54,121
Cedar Breaks NM,772886,$55,340,726,$21,505,$36,862,$68,780
Cesar E. Chavez NM,9164,$596,7,$345,$541,$872
Chaco Culture NHP,31922,$2,062,28,$821,$1,431,$2,631
Chamizal NMEM,19600,$1,275,19,$534,$849,$1,656
Eisenhower NHS,16915,$1,101,14,$623,$1,000,$1,611
El Malpais NM,181729,$11,830,169,$4,966,$8,516,$15,854
El Morro NM,66734,$4,698,62,$1,424,$2,586,$5,081
Eleanor Roosevelt NHS,12414,$808,10,$441,$710,$1,132
Eugene O'Neill NHS,22714,$1,479,16,$878,$1,350,$2,073
Everglades NP,942130,$100,209,1401,$53,662,$91,766,$154,787
Federal Hall NMEMc,4583,$298,3,$178,$289,$438
Fire Island NS,224924,$11,073,110,$6,073,$9,878,$14,881
First Ladies NHS,6562,$427,6,$236,$372,$657
Flight 93 NMEM,424224,$27,616,398,$14,798,$23,001,$40,596
Florissant Fossil Beds NM,75128,$4,890,64,$2,657,$4,376,$7,386
Ford's Theatre NHSc,101146,$2,124,27,$1,230,$2,036,$3,258
Fort Bowie NHS,9280,$604,8,$265,$441,$779
Fort Caroline NMEM,323852,$21,082,305,$10,249,$17,402,$30,796
Fort Davis NHS,48163,$3,135,40,$1,188,$1,835,$3,369
Fort Donelson NB,234898,$16,861,201,$8,389,$13,649,$22,576
Fort Frederica NM,84860,$5,524,78,$2,622,$4,376,$7,689
Franklin Delano Roosevelt MEM,2022050,$42,472,535,$24,599,$40,708,$65,127
Frederick Douglass NHSc,1807,$38,0,$22,$37,$58
Frederick Law Olmsted NHS,4300,$279,4,$169,$263,$425
Fredericksburg & Spotsylvania NMP,736416,$47,939,597,$26,280,$42,870,$69,200
Friendship Hill NHS,16552,$1,077,16,$586,$918,$1,618
Gates of the Arctic NP&PRESc,7362,$11,995,169,$6,571,$10,481,$17,951
Gateway Arch NP,1145081,$126,069,2048,$72,060,$115,892,$210,056
Gateway NRA,9060807,$265,219,2938,$116,979,$196,591,$321,804
Gauley River NRA,167794,$8,211,106,$3,119,$5,192,$9,557
General Grant MEM,57487,$3,742,41,$2,234,$3,633,$5,501
George Rogers Clark NHP,116088,$7,557,106,$3,002,$5,261,$9,712
George Washington Birthplace NM,102782,$5,239,62,$2,805,$4,559,$7,293
George Washington Carver NM,25838,$540,7,$207,$341,$653
George Washington MEM PKWY,6821179,$49,436,760,$29,460,$46,183,$79,380
Gettysburg NMP,687631,$49,362,596,$27,350,$44,233,$70,985
Gila Cliff Dwellings NM,45428,$2,957,38,$945,$1,647,$3,146
Glacier Bay NP&PRES,89768,$39,104,521,$22,521,$34,641,$66,370
Richmond NBP,152308,$9,914,143,$4,665,$7,879,$14,255
Rio Grande W&SR,275,$234,4,$96,$142,$292
River Raisin NB,263472,$17,151,233,$9,109,$14,795,$25,370
Rock Creek P,1838346,$38,614,490,$22,407,$37,061,$59,439
Rocky Mountain NP,4434848,$323,329,4421,$183,477,$302,571,$512,723
Roger Williams NMEM,20719,$1,349,17,$800,$1,259,$2,026
Rosie the Riveter WWII Home Front NHPc,19038,$1,239,13,$736,$1,132,$1,738
Ross Lake NRA,855926,$42,693,398,$19,935,$34,326,$52,227
Russell Cave NM,22393,$1,458,21,$617,$1,008,$1,881
Sagamore Hill NHS,207032,$13,477,143,$7,980,$12,994,$19,486
Saguaro NP,1079786,$77,419,1034,$40,396,$68,323,$117,279
Saint-Gaudens NHS,26058,$1,421,19,$872,$1,369,$2,219
Saint Croix Island IHS,10299,$670,9,$293,$486,$873
Saint Croix NSRc,732100,$35,609,474,$18,064,$29,281,$51,437
Saint Paul's Church NHS,5022,$327,3,$194,$316,$475
Salem Maritime NHS,181008,$11,783,147,$7,189,$11,178,$17,968
Salinas Pueblo Missions NM,38080,$2,478,35,$1,056,$1,788,$3,276
Salt River Bay NHP&EP,10707,$696,7,$324,$583,$898
San Antonio Missions NHP,1335071,$104,415,1644,$56,570,$90,896,$164,962
San Francisco Maritime NHP,2827885,$79,722,742,$39,868,$60,729,$94,554
San Juan Island NHP,638066,$41,537,423,$20,662,$35,888,$54,795
San Juan NHS,798188,$51,961,537,$24,205,$43,470,$66,978
Sand Creek Massacre NHS,6201,$404,5,$118,$220,$430
Santa Monica Mountains NRA,830451,$40,894,479,$22,841,$35,937,$58,278
Saratoga NHP,70682,$4,601,58,$2,079,$3,549,$6,035
Saugus Iron Works NHS,20487,$1,334,17,$813,$1,266,$2,037
Scotts Bluff NM,194027,$12,631,169,$4,843,$8,090,$15,033
Sequoia NP,1059548,$88,040,1059,$39,761,$64,093,$107,376
Shenandoah NP,1592312,$112,718,1349,$60,105,$98,200,$157,384
Shiloh NMP,371863,$24,207,341,$8,871,$14,986,$28,904
Sitka NHP,96793,$18,436,321,$11,527,$15,586,$28,159
Sleeping Bear Dunes NL,1722955,$205,983,2729,$82,364,$147,422,$265,608
Springfield Armory NHSc,13557,$883,11,$501,$793,$1,279
Statue of Liberty NM,1556482,$101,324,1107,$60,473,$98,279,$148,685
Tumacacori NHP,33357,$2,170,29,$970,$1,612,$2,847
Tuskegee Airmen NHS,8057,$524,8,$204,$340,$669
Tuskegee Institute NHS,5629,$367,6,$143,$238,$468
Tuzigoot NM,124406,$8,099,111,$4,354,$7,242,$12,393
Ulysses S Grant NHS,27823,$1,811,27,$981,$1,592,$2,845
Upper Delaware NSR&NRR,269810,$13,286,128,$6,869,$11,135,$16,802
Valles Caldera NPRES,76578,$5,471,73,$2,313,$3,975,$7,148
Valley Forge NHP,1502209,$21,027,324,$12,879,$20,156,$34,655
Vanderbilt Mansion NHS,333029,$21,679,257,$11,973,$19,216,$30,636
Vicksburg NMP,391947,$25,515,382,$10,364,$17,919,$34,398
Vietnam Veterans MEM,3636033,$76,374,962,$44,234,$73,203,$117,113
Virgin Islands NP,323999,$49,346,565,$24,367,$45,975,$69,625
Voyageurs NP,243042,$21,583,299,$8,521,$14,553,$27,030
Waco Mammoth NM,81338,$5,295,76,$2,460,$3,841,$7,064
Walnut Canyon NM,212328,$13,822,172,$5,678,$9,274,$16,329
War in The Pacific NHP,367150,$23,900,247,$11,134,$19,995,$30,808
Washington Monumentc,63840,$1,341,17,$777,$1,286,$2,057
Washita Battlefield NHS,15237,$992,15,$306,$529,$1,121
Weir Farm NHS,31512,$2,052,22,$1,209,$1,970,$2,961
Whiskeytown NRA,816608,$40,117,476,$17,351,$26,936,$46,941
White Housec,14205,$298,4,$173,$286,$458
