State,Visits,Recreation Spending ($Millions, $2022),Jobs,Labor Income ($Millions, $2022),Value Added ($Millions, $2022),Economic Output ($Millions, $2022)
Alabama,1294952,88.4,1340,39,63.3,121.2
Alaska,2023881,1160.6,16450,646.5,1006.9,1785.8
American Samoa,1887,0.1,1,0.1,0.1,0.2
Arizona,10276078,1151.7,16418,644.8,1089.4,1880.1
Arkansas,4279263,278.2,3895,106.9,191.4,362
California,38237342,2747.5,34935,1750.5,2794.6,4489.9
Colorado,7434362,803.6,11312,476.5,777.6,1291.4
Connecticut,37977,2.5,29,1.5,2.3,3.6
District of Columbia,39440786,973,9140,486.6,782.9,1144.4
Florida,14399362,947.5,13149,489,835.6,1458.7
Georgia,6616113,381.9,5438,191.6,321.8,569.9
Guam,380578,25.1,258,11.7,21,32.4
Hawaii,4887315,566.1,5931,273.4,519,786
Idaho,696380,39.4,558,17,28.3,53.4
Illinois,145144,9.9,131,6,9.7,16
Indiana,3063228,155.1,2007,67.7,113.9,202.2
Iowa,160226,10.9,160,4.7,7.8,14.6
Kansas,98739,5.4,72,2.3,3.9,7.1
Kentucky,1953748,113.8,1686,53.4,84.6,157.5
Louisiana,321969,21.3,294,9.4,16,28.8
Maine,4025630,482.7,6919,256.9,438.1,758.6
Maryland,5802513,199.3,2361,104.1,172.1,276.3
Massachusetts,8217575,828.3,10136,520.6,820.8,1300.6
Michigan,2709509,254.8,3498,129.9,221,384.3
Minnesota,1113346,67.8,924,34.6,56.7,100.1
Mississippi,6895440,469.8,6678,190,324.5,610.1
Missouri,3276543,198.7,3066,107.8,172.5,311.7
Montana,4951583,621.1,9460,313.8,479,917.9
Nebraska,318693,22.7,334,11.3,18.3,33.2
Nevada,4393768,224.1,2357,101.7,175.7,283.4
New Hampshire,25513,1.4,19,0.9,1.4,2.2
New Jersey,5352036,192.1,2703,119.2,177.4,295.9
New Mexico,2261573,139.3,1836,55,94.1,174
New York,16791242,704.7,7241,368.5,616.4,940.3
North Carolina,20084660,2480,37485,1469,2339.2,3959.2
North Dakota,690718,49.5,632,19.9,33.9,62.3
Ohio,3208030,77.7,1124,43.4,68.4,122.8
Oklahoma,1468188,28.8,280,9,14.5,28
Oregon,1045307,85.5,1190,47.6,75,128.9
Pennsylvania,7612459,385.2,5742,228.3,345.3,603.5
Puerto Rico,1027264,67.8,697,31.5,56.7,87.4
Rhode Island,33838,2.2,29,1.1,1.9,3.1
South Carolina,1180113,72.7,959,31,54.5,96.2
South Dakota,4412957,535.5,7431,254.4,420.9,738.1
Tennessee,10407084,1368.6,19652,811.9,1278.2,2113.9
Texas,5413161,325.2,4545,174.2,275.5,493.1
Utah,13554654,1656.1,23312,863,1486.4,2597.7
Vermont,63956,4.2,54,1.9,3.2,5.6
Virgin Islands,350859,41.4,452,19.8,37.3,56.8
Virginia,22507067,1246.9,17662,636.8,1075,1880.5
Washington,8043387,524.9,5693,257.9,458.6,722
West Virginia,2178154,110.5,1473,43.8,72.7,133.8
Wisconsin,671838,65.8,952,31.7,51.7,94.7
Wyoming,6148010,870,11538,380,631.1,1127.7
