Park Unit,Recreation Visits ($000s, $2021),Total Visitor Spending ($000s, $2021),Jobs,Labor Income Value ($000s, $2021),Added Output ($000s, $2021)
Lincoln Home NHS,89964,6063,85,2541,4437,8072
Lincoln MEM,5792331,121666,1532,70466,116614,186564
Little Bighorn Battlefield NM,211296,13755,203,6251,9417,18155
Little River Canyon NPRES,862606,56153,833,25048,41474,76804
Little Rock Central High School NHS,84839,5523,82,2293,4077,7673
Longfellow NHS,35895,2337,29,1413,2204,3562
Lowell NHP,49721,3237,41,1954,3050,4929
Lyndon B Johnson NHP,133914,8717,129,4653,7276,13175
Lyndon Baines Johnson Memorial Grove,232875,15159,188,8583,14024,22455
Maggie L Walker NHS,2568,167,2,80,134,239
Mammoth Cave NP,515774,47874,643,25464,40940,69198
Manassas NBP,516604,33630,412,18923,30950,49415
Manhattan Project (New Mexico) NHP,7584,494,6,207,342,597
Manhattan Project (Tennessee) NHP,18479,392,5,169,263,481
Manhattan Project (Washington) NHP,0,0,0,0,0,0
Manzanar NHS,117113,13739,164,6182,9945,17091
