Park Unit,Total Recreation Visits,Total Visitor Spending ($000s),Jobs,Labor Income ($000s),Value Added ($000s),Economic Output ($000s)
Abraham Lincoln Birthplace NHP,"228,140","$13,669",202,"$6,138","$10,709","$18,484"
Acadia NPa,"2,669,034","$303,734","4,368","$134,853","$240,528","$411,030"
Adams NHP,"6,937",$416,5,$231,$379,$595
African Burial Ground NM,"7,907",$474,6,$262,$443,$661
Agate Fossil Beds NMa,"8,722",$657,9,$208,$361,$690
Alibates Flint Quarries NM,"4,269",$256,4,$102,$173,$316
Allegheny Portage Railroad NHS,"136,030","$8,150",129,"$4,071","$6,581","$11,459"
Amistad NRA,"1,424,139","$64,030",825,"$20,405","$35,888","$65,732"
Andersonville NHS,"63,800","$3,823",63,"$1,407","$2,467","$4,788"
Andrew Johnson NHS,"46,093","$2,762",40,"$1,228","$2,042","$3,577"
Aniakchak NM&PRES,36,$65,1,$27,$61,$92
Antietam NB,"85,884","$5,146",68,"$2,759","$4,577","$7,216"
Apostle Islands NLa,"219,009","$35,498",504,"$12,968","$23,099","$42,392"
Appomattox Court House NHP,"57,513","$3,446",52,"$1,395","$2,401","$4,306"
Arches NPa,"1,238,083","$151,684","2,323","$61,839","$109,729","$199,487"
Arkansas Post NMEM,"29,652","$1,777",25,$707,"$1,253","$2,191"
"Arlington House, The Robert E. Lee",0,$0,0,$0,$0,$0
Assateague Island NS,"2,481,659","$111,372","1,402","$44,007","$73,713","$124,986"
Aztec Ruins NM,"30,223","$1,811",27,$643,"$1,145","$2,128"
Badlands NP,"916,932","$60,511",847,"$23,940","$41,344","$76,026"
Bandelier NM,"94,948","$6,141",88,"$2,558","$4,442","$7,925"
Belmont-Paul Women's Equality NM,"2,535",$49,1,$27,$45,$71
Bent's Old Fort NHS,"12,438",$745,10,$301,$527,$919
Bering Land Bridge NPRES,"2,642","$4,067",50,"$1,913","$3,582","$5,793"
Big Bend NP,"393,907","$33,539",486,"$10,916","$20,053","$37,678"
Big Cypress NPRES,"1,181,930","$96,331","1,273","$48,430","$84,982","$138,557"
Big Hole NBa,"36,234","$2,595",34,$948,"$1,446","$2,687"
Big South Fork NRRAa,"772,625","$24,335",295,"$9,007","$15,130","$26,361"
Big Thicket NPRES,"309,053","$20,309",256,"$9,621","$16,569","$26,737"
Bighorn Canyon NRA,"212,295","$9,483",134,"$3,888","$6,254","$11,432"
Biscayne NP,"402,770","$26,489",347,"$13,169","$22,824","$37,147"
Black Canyon of the Gunnison NP,"341,619","$21,782",271,"$9,279","$16,230","$26,811"
Blue Ridge PKWYa,"14,099,484","$1,067,321","15,472","$420,072","$716,910","$1,300,099"
Bluestone NSR,"25,208","$1,134",16,$438,$739,"$1,313"
Booker T Washington NM,"22,482","$1,347",21,$571,$975,"$1,758"
Boston African American NHS,"89,616","$5,369",70,"$2,991","$4,908","$7,699"
Boston Harbor Islands NRAb,"71,991","$3,239",39,"$1,681","$2,742","$4,304"
Boston NHP,"277,169","$16,606",217,"$9,252","$15,181","$23,808"
Brown V Board of Education NHS,"4,064",$244,4,$126,$212,$372
Bryce Canyon NP,"1,464,655","$125,173","1,810","$47,009","$83,256","$151,322"
Buck Island Reef NM,"16,033",$971,10,$434,$788,"$1,214"
Buffalo NR,"1,478,846","$66,349",960,"$23,654","$41,200","$76,072"
Cabrillo NM,"523,878","$31,388",411,"$16,367","$26,979","$42,707"
Canaveral NSa,"1,162,949","$44,493",581,"$20,204","$35,672","$59,211"
Cane River Creole NHP,"17,431","$1,044",15,$398,$727,"$1,285"
Canyon De Chelly NM,"76,751","$5,422",78,"$1,797","$3,311","$6,395"
Canyonlands NP,"493,914","$30,975",436,"$11,602","$20,276","$36,993"
