Park Unit,Total Visits ($000s, $2020),Recreation Spending ($000s, $2020),Jobs ($000s, $2020),Labor Income Value Added ($000s, $2020),Output ($000s, $2020)
Rainbow Bridge NM,3572,214,3,76,135,240
Redwood NP,265177,17311,235,7085,11681,20548
Richmond NBP,179599,10761,161,4816,8406,14697
Rio Grande W&SR,126,109,2,34,64,127
River Raisin NB,309977,18572,262,9191,15914,26216
Rock Creek P,1768153,34336,447,18734,31692,49694
Rocky Mountain NPa,3305200,224393,3190,120843,208088,341950
Roger Williams NMEM,13970,837,11,458,756,1178
Rosie the Riveter WWII Home Front NHP,9528,571,7,327,518,786
Ross Lake NRA,920525,41436,415,18611,32845,49180
Russell Cave NM,8463,507,8,206,349,633
Sagamore Hill NHS,105289,6308,72,3456,5862,8679
Saguaro NP,762226,50105,696,25321,44102,73510
Saint-Gaudens NHSA,13286,676,9,360,620,995
Saint Croix Island IHS,6914,414,6,165,289,504
Saint Croix NSR,798622,35470,498,17142,29014,49102
Saint Paul's Church NHS,5968,358,4,196,333,493
Salem Maritime NHS,125554,7522,98,4225,6925,10814
