Total Visitor,Economic
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
Boston African American NHS,89616,$5369,70,$2991,$4908,$7699
Boston Harbor Islands NRAb,71991,$3239,39,$1681,$2742,$4304
Boston NHP,277169,$16606,217,$9252,$15181,$23808
Brown V Board of Education NHS,4064,244,4,126,212,372
Bryce Canyon NP,1464655,$125173,1810,$47009,$83256,$151322
Buck Island Reef NM,16033,971,10,434,788,$1214
Buffalo NR,1478846,$66349,960,$23654,$41200,$76072
Cabrillo NM,523878,$31388,411,$16367,$26979,$42707
Canaveral NSa,1162949,$44493,581,$20204,$35672,$59211
Cane River Creole NHP,17431,$1044,15,398,727,$1285
Canyon De Chelly NM,76751,$5422,78,$1797,$3311,$6395
Canyonlands NP,493914,$30975,436,$11602,$20276,$36993
Cape Cod NSa,4083504,$522958,6417,$240492,$418002,$675797
Cape Hatteras NS,2648522,$172180,2474,$68598,$121037,$216152
Cape Krusenstern NM,11369,$17498,215,$8230,$15410,$24923
Cape Lookout NS,488332,$21905,304,$7505,$12518,$23491
Capitol Reef NPa,981038,$72429,954,$25289,$45286,$82231
Capulin Volcano NMa,63335,$1957,27,623,$1052,$1976
Carl Sandburg Home NHS,42672,$2557,37,$1089,$1840,$3221
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
City of Rocks NRES,110202,$6603,96,$2479,$4192,$7643
Clara Barton NHS,449,27,0,14,24,38
Colonial NHP a,2946595,$301179,4549,$114145,$211882,$378328
Colorado NM,435625,$28060,392,$10836,$19134,$34356
Congaree NP a,119306,$6186,77,$2387,$4259,$7321
Coronado NM EM,156200,$9359,143,$3709,$6640,$11906
Cowpens NB,226902,$14938,211,$7248,$12191,$20649
Crater Lake NP,670501,$58562,843,$27714,$45622,$78495
Craters of the Moon NM&PRESa,250871,$8880,126,$3175,$5374,$10188
Cumberland Gap NHP,735447,$47992,653,$20516,$35278,$61463
Cumberland Island NS,37295,$1614,22,704,$1178,$2022
Curecanti NRA,921584,$41107,501,$16272,$28032,$46653
Cuyahoga Valley NPa,2755628,$48457,709,$24396,$40703,$70207
Dayton Aviation Heritage NHPa,39852,$2408,39,$1306,$2199,$3762
De Soto NM EM,196114,$11750,175,$5786,$10000,$16971
Death Valley NP,820023,$68752,845,$33079,$55548,$88425
Delaware Water Gap NRAa,4068529,$143608,1968,$82119,$136771,$211591
Denali NP&PRES,54849,$57713,703,$27170,$51229,$82511
Devils Postpile NM,108589,$7149,89,$3030,$5020,$8392
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
Devils Tower NM,423997,$27914,385,$11394,$19765,$35690
Dinosaur NM,264145,$16516,202,$6312,$10941,$18521
Dry Tortugas NP,48542,$2981,34,$1206,$2080,$3362
Dwight D. Eisenhower MEMb,187328,$3638,47,$1983,$3356,$5250
Edgar Allan Poe NHS,2417,145,2,83,134,215
Effigy Mounds NMa,18225,$1192,19,473,811,$1489
Eisenhower NHS,7926,475,6,254,419,661
El Malpais NM,139336,$8348,130,$3488,$6028,$10995
El Morro NM,36328,$2343,33,661,$1227,$2449
Eleanor Roosevelt NHS,9575,574,7,291,492,758
Eugene O'Neill NHS,14423,864,10,495,785,$1190
Everglades NP,702319,$69129,944,$36046,$63416,$103057
Federal Hall NMEM,13823,828,10,459,775,$1154
Fire Island NS,250449,$11166,120,$5650,$9526,$14156
First Ladies NHS,2406,144,2,74,124,214
Flight 93 NM EM,244364,$14641,229,$7313,$11866,$20608
Florissant Fossil Beds NM,61081,$3660,51,$1909,$3271,$5352
Ford's Theatre NHS,56058,$1089,14,593,$1004,$1571
Fort Bowie NHS,6455,387,6,151,271,485
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
New Orleans Jazz NHP,9639,578,8,267,468,787
New River Gorge NR,1054375,$47432,665,$18371,$31075,$55318
Nez Perce NHP,301472,$18062,242,$7216,$13235,$22317
Nicodemus NHS a,263,15,0,5,8,15
Ninety Six NHS,95417,$5717,84,$2475,$4275,$7463
Niobrara NSRa,102767,$10671,173,$3350,$5758,$11952
Noatak NPRES,12533,$19287,237,$9072,$16986,$27472
North Cascades NP,30885,$1528,15,698,$1207,$1795
Obed W&SRa,237837,$4507,52,$1672,$2580,$4456
Ocmulgee NM,61302,$3673,59,$1346,$2361,$4501
Olympic NP,2499178,$213024,2412,$103933,$191636,$291362
Oregon Caves NM,22789,$1480,20,608,$1004,$1776
Organ Pipe Cactus NM,191512,$11881,166,$5953,$10315,$17198
Ozark NSR,1316795,$58457,888,$18926,$31824,$63434
Padre Island NS,617704,$27503,373,$10388,$17547,$31697
Palo Alto Battlefield NHP,97861,$5863,89,$2354,$4002,$7420
Paterson Great Falls NHP,339768,$20357,236,$11309,$17969,$27055
Pea Ridge NMP,80455,$4820,76,$1988,$3399,$6267
Pecos NHP,36695,$2199,33,957,$1626,$2892
Total,Recreation,Spending,Labor Income Value,Added,Output
Park Unit,Visits ($000s, $2020),Jobs ($000s, $2020), ($000s, $2020), ($000s, $2020)
Stones River NB,301270,$18050,242,$9218,$15194,$24800
Stonewall NMc,0,0,0,0,0,0
Sunset Crater Volcano NM,83669,$5013,70,$1767,$3148,$5634
Tallgrass Prairie NPRES,29009,$1738,26,734,$1231,$2233
Thaddeus Kosciuszko NMEMc,0,0,0,0,0,0
Theodore Roosevelt Birthplace NHS,4984,299,3,165,280,417
Theodore Roosevelt Inaugural NHS,5098,305,4,127,239,394
Theodore Roosevelt Island P,153599,$9203,119,$4930,$8205,$12846
Theodore Roosevelt NP,551304,$36222,462,$13799,$23317,$41119
Thomas Edison NHP,7605,456,5,254,425,636
Thomas Jefferson MEM,852626,$16557,214,$9025,$15273,$23894
Thomas Stone NHS,2351,141,2,75,125,195
Timpanogos Cave NM,92481,$5541,86,$2786,$4692,$8240
Timucuan EHP,1017372,$60955,920,$28723,$49559,$85633
