Park Unit,"Total
Recreation
Visits","Total Visitor
Spending
($000s, $2023)",Jobs,"Labor Income
($000s, $2023)","Value Added
($000s, $2023)","Economic
Output
($000s, $2023)"
Abraham Lincoln Birthplace NHP,"239,950","$16,070",242,"$8,000","$12,523","$23,391"
Acadia NP A,"3,879,890","$475,175","6,603","$229,830","$390,600","$685,376"
Adams NHP,"25,229","$1,691",21,"$1,017","$1,586","$2,569"
African Burial Ground NM,"40,817","$2,733",30,"$1,625","$2,643","$4,012"
Agate Fossil Beds NM A,"15,562","$1,329",17,$412,$716,"$1,425"
Alagnak WR C,231,$13,0,$6,$9,$16
Alibates Flint Quarries NM C,"6,006",$402,6,$167,$264,$516
Allegheny Portage Railroad NHS,"199,612","$13,368",191,"$7,143","$11,058","$19,603"
Amistad NRA,"836,733","$42,327",531,"$14,667","$23,289","$45,745"
Andersonville NHS,"77,740","$5,206",80,"$1,977","$3,386","$6,701"
Andrew Johnson NHS,"61,086","$4,091",57,"$1,900","$3,111","$5,667"
Aniakchak NM&PRES,199,$270,4,$148,$239,$407
Antietam NB,"153,560","$10,280",127,"$5,815","$9,451","$15,261"
Apostle Islands NL A,"247,167","$44,444",608,"$17,190","$29,409","$55,695"
Appomattox Court House NHP,"91,963","$6,159",88,"$2,633","$4,393","$8,162"
Arches NP A,"1,482,045","$282,826","3,654","$115,764","$194,441","$345,830"
Arkansas Post NMEM,"25,032","$1,676",23,$686,"$1,173","$2,146"
"Arlington House, The Robert E. Lee
Memorial NMEM","419,225","$28,076",343,"$15,846","$25,894","$41,570"
Assateague Island NS,"2,351,874","$118,609","1,431","$48,489","$79,369","$141,202"
"Aztec Ruins NM A,B","47,554","$3,072",42,"$1,276","$2,216","$4,058"
"Badlands NP A,B","1,046,400","$134,579","1,916","$62,407","$107,624","$193,285"
Bandelier NM,"199,501","$14,257",188,"$5,882","$10,165","$18,607"
Belmont-Paul Women's Equality NM C,"2,034",$44,1,$25,$42,$67
Bent's Old Fort NHS,"19,718","$1,320",17,$554,$954,"$1,709"
Bering Land Bridge NPRES,"2,642","$4,420",62,"$2,418","$3,859","$6,615"
Big Bend NP,"509,129","$48,513",657,"$18,723","$29,810","$56,205"
Big Cypress NPRES,"1,846,562","$167,855","2,169","$85,498","$146,590","$248,903"
Big Hole NB A,"55,206","$4,465",57,"$1,651","$2,466","$4,952"
Big South Fork NRRA A,"766,000","$27,487",323,"$10,701","$17,391","$31,816"
Big Thicket NPRES,"262,791","$19,364",251,"$9,762","$15,329","$26,448"
Bighorn Canyon NRA,"217,731","$10,976",147,"$4,502","$6,882","$13,417"
Biscayne NP,"571,242","$42,063",540,"$21,267","$35,950","$61,171"
Black Canyon of the Gunnison NP,"357,069","$25,557",295,"$11,051","$18,492","$31,901"
Blue Ridge PKWY A,"16,757,635","$1,390,803","19,159","$571,979","$971,164","$1,810,286"
Bluestone NSR,"21,592","$1,093",14,$424,$708,"$1,317"
Booker T Washington NM,"28,713","$1,922",29,$843,"$1,414","$2,659"
Boston African American NHS,"389,863","$26,110",324,"$15,752","$24,560","$39,770"
Boston Harbor Islands NRA C,"27,986","$1,417",16,$795,"$1,236","$2,009"
Boston NHP,"2,517,296","$168,589","2,092","$101,725","$158,579","$256,767"
Brown v. Board of Education NHP,"18,826","$1,261",19,$663,"$1,098","$1,977"
Bryce Canyon NP A,"2,461,269","$231,942","3,190","$73,488","$125,354","$249,380"
Buck Island Reef NM,"46,207","$3,317",32,"$1,472","$2,712","$4,145"
Buffalo NR,"1,549,467","$78,159","1,033","$29,368","$49,972","$94,549"
Cabrillo NM,"810,147","$54,257",678,"$29,651","$46,624","$76,162"
Camp Nelson NM,"16,397","$1,098",17,$509,$799,"$1,517"
Canaveral NS A,"2,019,073","$84,226","1,079","$40,717","$69,197","$119,767"
Cane River Creole NHP,"11,701",$783,11,$304,$530,$987
"Canyon De Chelly NM A,B","333,349","$42,089",574,"$15,297","$27,931","$53,029"
Canyonlands NP A,"800,322","$106,090","1,373","$42,757","$72,406","$129,549"
Cape Cod NS A,"3,808,404","$533,656","6,467","$268,107","$437,341","$730,144"
Cape Hatteras NS A,"2,826,169","$644,036","10,220","$349,798","$536,350","$863,670"
Cape Krusenstern NM,"17,820","$29,809",416,"$16,302","$26,021","$44,608"
Cape Lookout NS,"529,995","$26,553",338,"$9,506","$15,480","$29,406"
Capitol Reef NP A,"1,268,861","$110,571","1,526","$33,710","$65,043","$127,124"
Capulin Volcano NM A,"88,514","$3,070",38,"$1,002","$1,681","$3,204"
Carl Sandburg Home NHS,"149,043","$9,982",139,"$4,316","$7,267","$13,205"
Carlsbad Caverns NP,"394,121","$29,087",359,"$10,044","$17,246","$31,869"
Carter G. Woodson Home NHS C,0,$0,0,$0,$0,$0
Casa Grande Ruins NM,"111,392","$7,460",102,"$4,001","$6,676","$11,527"
Castillo De San Marcos NM,"646,703","$43,311",617,"$20,133","$34,350","$61,696"
Castle Clinton NM,"3,929,749","$113,945","1,113","$57,752","$91,814","$143,765"
Catoctin Mountain P A,"432,492","$13,119",142,"$6,362","$10,078","$16,065"
Cedar Breaks NM,"614,292","$45,233",587,"$17,534","$30,057","$56,233"
Cesar E. Chavez NM,"12,007",$804,10,$464,$727,"$1,175"
Chaco Culture NHP,"40,198","$2,532",33,$999,"$1,734","$3,185"
Chamizal NMEM,"8,324",$557,8,$233,$370,$723
Channel Islands NP,"328,746","$22,588",266,"$13,111","$20,685","$33,094"
Charles Pinckney NHS,"32,109","$2,151",28,$934,"$1,616","$2,795"
Charles Young Buffalo Soldiers NM C,"3,302",$221,3,$107,$169,$307
Chattahoochee River NRA,"3,183,081","$161,166","2,149","$81,617","$136,168","$236,780"
Chesapeake & Ohio Canal NHP,"4,470,592","$96,011","1,236","$54,746","$90,338","$147,816"
Chickamauga & Chattanooga NMP,"1,021,822","$68,402",967,"$28,314","$46,534","$87,476"
