Park Unit,Recreation Visits,Total Visitor Spending,Labor,Income Value Added,Output
Timucuan EHP,1102223,$72,782,1045,$35,120,$59,669,$105,969
Tonto NM,31504,$2,080,29,$1,117,$1,862,$3,207
Tule Springs Fossil Beds NM,47674,$3,148,36,$1,560,$2,690,$4,306
Tumacacori NHP,38786,$2,561,34,$1,143,$1,900,$3,361
Tuskegee Airmen NHS,16137,$1,065,16,$414,$689,$1,358
Tuskegee Institute NHS,9769,$645,10,$251,$417,$822
Tuzigoot NM,116639,$7,702,105,$4,134,$6,876,$11,782
Ulysses S Grant NHS,32354,$2,137,32,$1,156,$1,875,$3,355
Upper Delaware NSR&NRR,270718,$13,518,129,$6,981,$11,315,$17,098
Valles Caldera NPR ES,63738,$4,612,61,$1,947,$3,346,$6,025
Valley Forge NHP,1645298,$23,386,357,$14,279,$22,349,$38,503
Vanderbilt Mansion NHS,326012,$13,831,173,$6,322,$11,081,$18,031
Vicksburg NMP,410487,$27,105,403,$10,993,$19,007,$36,538
Vietnam Veterans MEM,4886254,$104,124,1302,$60,204,$99,632,$159,605
Virgin Islands NP,196752,$31,028,347,$15,075,$28,661,$43,520
Voyageurs NP,221434,$20,136,278,$7,953,$13,645,$25,414
Waco Mammoth NM,88240,$5,826,83,$2,703,$4,220,$7,772
