Total Visitor,Economic
Total,Recreation,Spending,Labor Income,Value Added,Output
Park Unit,Visits ($,000s, $2020),Jobs ($,000s, $2020), ($,000s, $2020), ($,000s, $2020)
Glacier NP,1698865,203591,3082,96935,159886,287295
Glen Canyon NRA,2553393,252788,3084,99641,172981,297859
Golden Gate NRA,12400044,684875,6862,397545,639409,909768
Golden Spike NHS,53106,3104,47,1465,2474,4378
Governors Island NM,102915,6166,72,3415,5766,8590
Grand Canyon NP,2897098,433426,5730,172989,309269,530327
Grand Portage NM,66427,4372,55,1273,2369,4298
Grand Teton NP,3289638,598240,8176,260898,439161,754041
Grant-Kohrs Ranch NHS,15328,918,14,424,658,1203
Great Basin NP,120247,7121,99,2199,3842,7358
Great Sand Dunes NP&PRES,461532,29512,400,11652,20452,35949
Great Smoky Mountains NP,12095721,1024024,14707,468985,801570,1387955
Greenbelt P,28319,1864,23,977,1645,2563
Guadalupe Mountains NP,151256,9673,135,3653,6379,11690
Guilford Courthouse NMP,186020,11145,174,5363,8920,15607
Gulf Islands NS,4012130,180249,2386,76300,132013,224800
Hagerman Fossil Beds NM,14113,846,13,389,645,1140
Haleakala NP,319147,20936,221,9508,17381,26641
Hamilton Grange NM EM,23015,1379,16,761,1287,1914
