Park Unit,State,Share
Assateague Island NS,Maryland,33.0%
Assateague Island NS,Virginia,67.0%
Big South Fork NRRA,Kentucky,41.0%
Big South Fork NRRA,Tennessee,59.0%
Bighorn Canyon NRA,Montana,54.0%
Bighorn Canyon NRA,Wyoming,46.0%
Blue Ridge PKWY,North Carolina,62.0%
Blue Ridge PKWY,Virginia,38.0%
Chesapeake & Ohio Canal NHP,District of Columbia,24.0%
Chesapeake & Ohio Canal NHP,Maryland,76.0%
Chickamauga & Chattanooga NMP,Georgia,50.0%
Chickamauga & Chattanooga NMP,Tennessee,50.0%
Cumberland Gap NHP,Kentucky,93.0%
Cumberland Gap NHP,Virginia,7.0%
Death Valley NP,California,100.0%
Death Valley NP,Nevada,0.0%
Delaware Water Gap NRA,New Jersey,71.0%
Delaware Water Gap NRA,Pennsylvania,29.0%
Dinosaur NM,Colorado,74.0%
Dinosaur NM,Utah,26.0%
First State NHP,Delaware,88.4%
First State NHP,Pennsylvania,11.6%
Gateway NRA,New Jersey,19.0%
Gateway NRA,New York,81.0%
Glen Canyon NRA,Arizona,21.9%
Glen Canyon NRA,Utah,78.1%
Great Smoky Mountains NP,North Carolina,44.0%
Great Smoky Mountains NP,Tennessee,56.0%
Gulf Islands NS,Florida,61.7%
Gulf Islands NS,Mississippi,38.3%
Hovenweep NM,Colorado,44.0%
Hovenweep NM,Utah,56.0%
Lake Mead NRA,Arizona,25.0%
Lake Mead NRA,Nevada,75.0%
Natchez Trace PKWY,Alabama,7.0%
Natchez Trace PKWY,Mississippi,80.0%
Natchez Trace PKWY,Tennessee,13.0%
National Capital Parks East,District of Columbia,90.0%
National Capital Parks East,Maryland,10.0%
Saint Croix NSR,Minnesota,50.0%
Saint Croix NSR,Wisconsin,50.0%
Upper Delaware NSR&NRR,New York,50.0%
Upper Delaware NSR&NRR,Pennsylvania,50.0%
Yellowstone NP,Montana,51.0%
Yellowstone NP,Wyoming,49.0%
